sid,area,benthic,fishing,scapes,spp,vgpm
62,0.3,0.1,10,0.1,10,1
63,0.3,0.1,10,0.1,10,10
64,0.3,0.1,10,1,0.1,0.1
65,0.3,0.1,10,1,0.1,1
66,0.3,0.1,10,1,0.1,10
67,0.3,0.1,10,1,1,0.1
68,0.3,0.1,10,1,1,1
69,0.3,0.1,10,1,1,10
70,0.3,0.1,10,1,10,0.1
71,0.3,0.1,10,1,10,1
72,0.3,0.1,10,1,10,10
73,0.3,0.1,10,10,0.1,0.1
74,0.3,0.1,10,10,0.1,1
75,0.3,0.1,10,10,0.1,10
76,0.3,0.1,10,10,1,0.1
77,0.3,0.1,10,10,1,1
78,0.3,0.1,10,10,1,10
79,0.3,0.1,10,10,10,0.1
80,0.3,0.1,10,10,10,1
81,0.3,0.1,10,10,10,10
82,0.3,1,0.1,0.1,0.1,0.1
83,0.3,1,0.1,0.1,0.1,1
84,0.3,1,0.1,0.1,0.1,10
85,0.3,1,0.1,0.1,1,0.1
86,0.3,1,0.1,0.1,1,1
87,0.3,1,0.1,0.1,1,10
88,0.3,1,0.1,0.1,10,0.1
89,0.3,1,0.1,0.1,10,1
90,0.3,1,0.1,0.1,10,10
91,0.3,1,0.1,1,0.1,0.1
92,0.3,1,0.1,1,0.1,1
93,0.3,1,0.1,1,0.1,10
94,0.3,1,0.1,1,1,0.1
95,0.3,1,0.1,1,1,1
96,0.3,1,0.1,1,1,10
97,0.3,1,0.1,1,10,0.1
98,0.3,1,0.1,1,10,1
99,0.3,1,0.1,1,10,10
100,0.3,1,0.1,10,0.1,0.1
101,0.3,1,0.1,10,0.1,1
102,0.3,1,0.1,10,0.1,10
103,0.3,1,0.1,10,1,0.1
104,0.3,1,0.1,10,1,1
105,0.3,1,0.1,10,1,10
106,0.3,1,0.1,10,10,0.1
107,0.3,1,0.1,10,10,1
108,0.3,1,0.1,10,10,10
109,0.3,1,1,0.1,0.1,0.1
110,0.3,1,1,0.1,0.1,1
111,0.3,1,1,0.1,0.1,10
112,0.3,1,1,0.1,1,0.1
113,0.3,1,1,0.1,1,1
114,0.3,1,1,0.1,1,10
115,0.3,1,1,0.1,10,0.1
116,0.3,1,1,0.1,10,1
117,0.3,1,1,0.1,10,10
118,0.3,1,1,1,0.1,0.1
119,0.3,1,1,1,0.1,1
120,0.3,1,1,1,0.1,10
121,0.3,1,1,1,1,0.1
122,0.3,1,1,1,1,1
123,0.3,1,1,1,1,10
124,0.3,1,1,1,10,0.1
125,0.3,1,1,1,10,1
126,0.3,1,1,1,10,10
127,0.3,1,1,10,0.1,0.1
128,0.3,1,1,10,0.1,1
129,0.3,1,1,10,0.1,10
130,0.3,1,1,10,1,0.1
131,0.3,1,1,10,1,1
132,0.3,1,1,10,1,10
133,0.3,1,1,10,10,0.1
134,0.3,1,1,10,10,1
135,0.3,1,1,10,10,10
136,0.3,1,10,0.1,0.1,0.1
137,0.3,1,10,0.1,0.1,1
138,0.3,1,10,0.1,0.1,10
139,0.3,1,10,0.1,1,0.1
140,0.3,1,10,0.1,1,1
141,0.3,1,10,0.1,1,10
142,0.3,1,10,0.1,10,0.1
143,0.3,1,10,0.1,10,1
144,0.3,1,10,0.1,10,10
145,0.3,1,10,1,0.1,0.1
146,0.3,1,10,1,0.1,1
147,0.3,1,10,1,0.1,10
148,0.3,1,10,1,1,0.1
149,0.3,1,10,1,1,1
150,0.3,1,10,1,1,10
151,0.3,1,10,1,10,0.1
152,0.3,1,10,1,10,1
153,0.3,1,10,1,10,10
154,0.3,1,10,10,0.1,0.1
155,0.3,1,10,10,0.1,1
156,0.3,1,10,10,0.1,10
157,0.3,1,10,10,1,0.1
158,0.3,1,10,10,1,1
159,0.3,1,10,10,1,10
160,0.3,1,10,10,10,0.1
161,0.3,1,10,10,10,1
162,0.3,1,10,10,10,10
163,0.3,10,0.1,0.1,0.1,0.1
164,0.3,10,0.1,0.1,0.1,1
165,0.3,10,0.1,0.1,0.1,10
166,0.3,10,0.1,0.1,1,0.1
167,0.3,10,0.1,0.1,1,1
168,0.3,10,0.1,0.1,1,10
169,0.3,10,0.1,0.1,10,0.1
170,0.3,10,0.1,0.1,10,1
171,0.3,10,0.1,0.1,10,10
172,0.3,10,0.1,1,0.1,0.1
173,0.3,10,0.1,1,0.1,1
174,0.3,10,0.1,1,0.1,10
175,0.3,10,0.1,1,1,0.1
176,0.3,10,0.1,1,1,1
177,0.3,10,0.1,1,1,10
178,0.3,10,0.1,1,10,0.1
179,0.3,10,0.1,1,10,1
180,0.3,10,0.1,1,10,10
181,0.3,10,0.1,10,0.1,0.1
182,0.3,10,0.1,10,0.1,1
183,0.3,10,0.1,10,0.1,10
184,0.3,10,0.1,10,1,0.1
185,0.3,10,0.1,10,1,1
186,0.3,10,0.1,10,1,10
187,0.3,10,0.1,10,10,0.1
188,0.3,10,0.1,10,10,1
189,0.3,10,0.1,10,10,10
190,0.3,10,1,0.1,0.1,0.1
191,0.3,10,1,0.1,0.1,1
192,0.3,10,1,0.1,0.1,10
193,0.3,10,1,0.1,1,0.1
194,0.3,10,1,0.1,1,1
195,0.3,10,1,0.1,1,10
196,0.3,10,1,0.1,10,0.1
197,0.3,10,1,0.1,10,1
198,0.3,10,1,0.1,10,10
199,0.3,10,1,1,0.1,0.1
200,0.3,10,1,1,0.1,1
201,0.3,10,1,1,0.1,10
202,0.3,10,1,1,1,0.1
203,0.3,10,1,1,1,1
204,0.3,10,1,1,1,10
205,0.3,10,1,1,10,0.1
206,0.3,10,1,1,10,1
207,0.3,10,1,1,10,10
208,0.3,10,1,10,0.1,0.1
209,0.3,10,1,10,0.1,1
210,0.3,10,1,10,0.1,10
211,0.3,10,1,10,1,0.1
212,0.3,10,1,10,1,1
213,0.3,10,1,10,1,10
214,0.3,10,1,10,10,0.1
215,0.3,10,1,10,10,1
216,0.3,10,1,10,10,10
217,0.3,10,10,0.1,0.1,0.1
218,0.3,10,10,0.1,0.1,1
219,0.3,10,10,0.1,0.1,10
220,0.3,10,10,0.1,1,0.1
221,0.3,10,10,0.1,1,1
222,0.3,10,10,0.1,1,10
223,0.3,10,10,0.1,10,0.1
224,0.3,10,10,0.1,10,1
225,0.3,10,10,0.1,10,10
226,0.3,10,10,1,0.1,0.1
227,0.3,10,10,1,0.1,1
228,0.3,10,10,1,0.1,10
229,0.3,10,10,1,1,0.1
230,0.3,10,10,1,1,1
231,0.3,10,10,1,1,10
232,0.3,10,10,1,10,0.1
233,0.3,10,10,1,10,1
234,0.3,10,10,1,10,10
235,0.3,10,10,10,0.1,0.1
236,0.3,10,10,10,0.1,1
237,0.3,10,10,10,0.1,10
238,0.3,10,10,10,1,0.1
239,0.3,10,10,10,1,1
240,0.3,10,10,10,1,10
241,0.3,10,10,10,10,0.1
242,0.3,10,10,10,10,1
243,0.3,10,10,10,10,10
244,0.5,0.1,0.1,0.1,0.1,0.1
245,0.5,0.1,0.1,0.1,0.1,1
246,0.5,0.1,0.1,0.1,0.1,10
247,0.5,0.1,0.1,0.1,1,0.1
248,0.5,0.1,0.1,0.1,1,1
249,0.5,0.1,0.1,0.1,1,10
250,0.5,0.1,0.1,0.1,10,0.1
251,0.5,0.1,0.1,0.1,10,1
252,0.5,0.1,0.1,0.1,10,10
253,0.5,0.1,0.1,1,0.1,0.1
254,0.5,0.1,0.1,1,0.1,1
255,0.5,0.1,0.1,1,0.1,10
256,0.5,0.1,0.1,1,1,0.1
257,0.5,0.1,0.1,1,1,1
258,0.5,0.1,0.1,1,1,10
259,0.5,0.1,0.1,1,10,0.1
260,0.5,0.1,0.1,1,10,1
261,0.5,0.1,0.1,1,10,10
262,0.5,0.1,0.1,10,0.1,0.1
263,0.5,0.1,0.1,10,0.1,1
264,0.5,0.1,0.1,10,0.1,10
265,0.5,0.1,0.1,10,1,0.1
266,0.5,0.1,0.1,10,1,1
267,0.5,0.1,0.1,10,1,10
268,0.5,0.1,0.1,10,10,0.1
269,0.5,0.1,0.1,10,10,1
270,0.5,0.1,0.1,10,10,10
271,0.5,0.1,1,0.1,0.1,0.1
272,0.5,0.1,1,0.1,0.1,1
273,0.5,0.1,1,0.1,0.1,10
274,0.5,0.1,1,0.1,1,0.1
275,0.5,0.1,1,0.1,1,1
276,0.5,0.1,1,0.1,1,10
277,0.5,0.1,1,0.1,10,0.1
278,0.5,0.1,1,0.1,10,1
279,0.5,0.1,1,0.1,10,10
280,0.5,0.1,1,1,0.1,0.1
281,0.5,0.1,1,1,0.1,1
282,0.5,0.1,1,1,0.1,10
283,0.5,0.1,1,1,1,0.1
284,0.5,0.1,1,1,1,1
285,0.5,0.1,1,1,1,10
286,0.5,0.1,1,1,10,0.1
287,0.5,0.1,1,1,10,1
288,0.5,0.1,1,1,10,10
289,0.5,0.1,1,10,0.1,0.1
290,0.5,0.1,1,10,0.1,1
291,0.5,0.1,1,10,0.1,10
292,0.5,0.1,1,10,1,0.1
293,0.5,0.1,1,10,1,1
294,0.5,0.1,1,10,1,10
295,0.5,0.1,1,10,10,0.1
296,0.5,0.1,1,10,10,1
297,0.5,0.1,1,10,10,10
298,0.5,0.1,10,0.1,0.1,0.1
299,0.5,0.1,10,0.1,0.1,1
300,0.5,0.1,10,0.1,0.1,10
301,0.5,0.1,10,0.1,1,0.1
302,0.5,0.1,10,0.1,1,1
303,0.5,0.1,10,0.1,1,10
304,0.5,0.1,10,0.1,10,0.1
305,0.5,0.1,10,0.1,10,1
306,0.5,0.1,10,0.1,10,10
307,0.5,0.1,10,1,0.1,0.1
308,0.5,0.1,10,1,0.1,1
309,0.5,0.1,10,1,0.1,10
310,0.5,0.1,10,1,1,0.1
311,0.5,0.1,10,1,1,1
312,0.5,0.1,10,1,1,10
313,0.5,0.1,10,1,10,0.1
314,0.5,0.1,10,1,10,1
315,0.5,0.1,10,1,10,10
316,0.5,0.1,10,10,0.1,0.1
317,0.5,0.1,10,10,0.1,1
318,0.5,0.1,10,10,0.1,10
319,0.5,0.1,10,10,1,0.1
320,0.5,0.1,10,10,1,1
321,0.5,0.1,10,10,1,10
322,0.5,0.1,10,10,10,0.1
323,0.5,0.1,10,10,10,1
324,0.5,0.1,10,10,10,10
325,0.5,1,0.1,0.1,0.1,0.1
326,0.5,1,0.1,0.1,0.1,1
327,0.5,1,0.1,0.1,0.1,10
328,0.5,1,0.1,0.1,1,0.1
329,0.5,1,0.1,0.1,1,1
330,0.5,1,0.1,0.1,1,10
331,0.5,1,0.1,0.1,10,0.1
332,0.5,1,0.1,0.1,10,1
333,0.5,1,0.1,0.1,10,10
334,0.5,1,0.1,1,0.1,0.1
335,0.5,1,0.1,1,0.1,1
336,0.5,1,0.1,1,0.1,10
337,0.5,1,0.1,1,1,0.1
338,0.5,1,0.1,1,1,1
339,0.5,1,0.1,1,1,10
340,0.5,1,0.1,1,10,0.1
341,0.5,1,0.1,1,10,1
342,0.5,1,0.1,1,10,10
343,0.5,1,0.1,10,0.1,0.1
344,0.5,1,0.1,10,0.1,1
345,0.5,1,0.1,10,0.1,10
346,0.5,1,0.1,10,1,0.1
347,0.5,1,0.1,10,1,1
348,0.5,1,0.1,10,1,10
349,0.5,1,0.1,10,10,0.1
350,0.5,1,0.1,10,10,1
351,0.5,1,0.1,10,10,10
352,0.5,1,1,0.1,0.1,0.1
353,0.5,1,1,0.1,0.1,1
354,0.5,1,1,0.1,0.1,10
355,0.5,1,1,0.1,1,0.1
356,0.5,1,1,0.1,1,1
357,0.5,1,1,0.1,1,10
358,0.5,1,1,0.1,10,0.1
359,0.5,1,1,0.1,10,1
360,0.5,1,1,0.1,10,10
361,0.5,1,1,1,0.1,0.1
362,0.5,1,1,1,0.1,1
363,0.5,1,1,1,0.1,10
364,0.5,1,1,1,1,0.1
365,0.5,1,1,1,1,1
366,0.5,1,1,1,1,10
367,0.5,1,1,1,10,0.1
368,0.5,1,1,1,10,1
369,0.5,1,1,1,10,10
370,0.5,1,1,10,0.1,0.1
371,0.5,1,1,10,0.1,1
372,0.5,1,1,10,0.1,10
373,0.5,1,1,10,1,0.1
374,0.5,1,1,10,1,1
375,0.5,1,1,10,1,10
376,0.5,1,1,10,10,0.1
377,0.5,1,1,10,10,1
378,0.5,1,1,10,10,10
379,0.5,1,10,0.1,0.1,0.1
380,0.5,1,10,0.1,0.1,1
381,0.5,1,10,0.1,0.1,10
382,0.5,1,10,0.1,1,0.1
383,0.5,1,10,0.1,1,1
384,0.5,1,10,0.1,1,10
385,0.5,1,10,0.1,10,0.1
386,0.5,1,10,0.1,10,1
387,0.5,1,10,0.1,10,10
388,0.5,1,10,1,0.1,0.1
389,0.5,1,10,1,0.1,1
390,0.5,1,10,1,0.1,10
391,0.5,1,10,1,1,0.1
392,0.5,1,10,1,1,1
393,0.5,1,10,1,1,10
394,0.5,1,10,1,10,0.1
395,0.5,1,10,1,10,1
396,0.5,1,10,1,10,10
397,0.5,1,10,10,0.1,0.1
398,0.5,1,10,10,0.1,1
399,0.5,1,10,10,0.1,10
400,0.5,1,10,10,1,0.1
401,0.5,1,10,10,1,1
402,0.5,1,10,10,1,10
403,0.5,1,10,10,10,0.1
404,0.5,1,10,10,10,1
405,0.5,1,10,10,10,10
406,0.5,10,0.1,0.1,0.1,0.1
407,0.5,10,0.1,0.1,0.1,1
408,0.5,10,0.1,0.1,0.1,10
409,0.5,10,0.1,0.1,1,0.1
410,0.5,10,0.1,0.1,1,1
411,0.5,10,0.1,0.1,1,10
412,0.5,10,0.1,0.1,10,0.1
413,0.5,10,0.1,0.1,10,1
414,0.5,10,0.1,0.1,10,10
415,0.5,10,0.1,1,0.1,0.1
416,0.5,10,0.1,1,0.1,1
417,0.5,10,0.1,1,0.1,10
418,0.5,10,0.1,1,1,0.1
419,0.5,10,0.1,1,1,1
420,0.5,10,0.1,1,1,10
421,0.5,10,0.1,1,10,0.1
422,0.5,10,0.1,1,10,1
423,0.5,10,0.1,1,10,10
424,0.5,10,0.1,10,0.1,0.1
425,0.5,10,0.1,10,0.1,1
426,0.5,10,0.1,10,0.1,10
427,0.5,10,0.1,10,1,0.1
428,0.5,10,0.1,10,1,1
429,0.5,10,0.1,10,1,10
430,0.5,10,0.1,10,10,0.1
431,0.5,10,0.1,10,10,1
432,0.5,10,0.1,10,10,10
433,0.5,10,1,0.1,0.1,0.1
434,0.5,10,1,0.1,0.1,1
435,0.5,10,1,0.1,0.1,10
436,0.5,10,1,0.1,1,0.1
437,0.5,10,1,0.1,1,1
438,0.5,10,1,0.1,1,10
439,0.5,10,1,0.1,10,0.1
440,0.5,10,1,0.1,10,1
441,0.5,10,1,0.1,10,10
442,0.5,10,1,1,0.1,0.1
443,0.5,10,1,1,0.1,1
444,0.5,10,1,1,0.1,10
445,0.5,10,1,1,1,0.1
446,0.5,10,1,1,1,1
447,0.5,10,1,1,1,10
448,0.5,10,1,1,10,0.1
449,0.5,10,1,1,10,1
450,0.5,10,1,1,10,10
451,0.5,10,1,10,0.1,0.1
452,0.5,10,1,10,0.1,1
453,0.5,10,1,10,0.1,10
454,0.5,10,1,10,1,0.1
455,0.5,10,1,10,1,1
456,0.5,10,1,10,1,10
457,0.5,10,1,10,10,0.1
458,0.5,10,1,10,10,1
459,0.5,10,1,10,10,10
460,0.5,10,10,0.1,0.1,0.1
461,0.5,10,10,0.1,0.1,1
462,0.5,10,10,0.1,0.1,10
463,0.5,10,10,0.1,1,0.1
464,0.5,10,10,0.1,1,1
465,0.5,10,10,0.1,1,10
466,0.5,10,10,0.1,10,0.1
467,0.5,10,10,0.1,10,1
468,0.5,10,10,0.1,10,10
469,0.5,10,10,1,0.1,0.1
470,0.5,10,10,1,0.1,1
471,0.5,10,10,1,0.1,10
472,0.5,10,10,1,1,0.1
473,0.5,10,10,1,1,1
474,0.5,10,10,1,1,10
475,0.5,10,10,1,10,0.1
476,0.5,10,10,1,10,1
477,0.5,10,10,1,10,10
478,0.5,10,10,10,0.1,0.1
479,0.5,10,10,10,0.1,1
480,0.5,10,10,10,0.1,10
481,0.5,10,10,10,1,0.1
482,0.5,10,10,10,1,1
483,0.5,10,10,10,1,10
484,0.5,10,10,10,10,0.1
485,0.5,10,10,10,10,1
486,0.5,10,10,10,10,10
